Name,Latitude,Longitude,HotspotID
"42nd Street Entrance, James River Park System",37.524758,-77.476709,L268263
A Place for Girls - The Outback,36.711348,-76.267386,L718292
A.R. Matthews Memorial Park,36.90675,-82.3074,L718293
Abingdon Muster Grounds,36.703852,-81.994207,L13933609
"Accotink Bay Wildlife Refuge, Fort Belvoir",38.7004,-77.155712,L159274
Adams Tract of Fairystone Farms Wildlife Management Area - Union Church Bridge,36.84809,-80.10145,L718436
Airfield 4-H Conference Center,36.91133651,-77.03398157,L684472
Algonkian Regional Park,39.06187,-77.37846,L277592
Alum Spring Park,38.28843,-77.48177,L718294
Amelia Wildlife Management Area,37.456124,-77.917991,L718295
Appalachian Trail - near Settler's Museum,36.87079,-81.35647,L718298
"Appalachian Trail, from Milam Gap to Tanners Ridge Fire Road",38.50047,-78.44564,L159395
Appomattox Court House National Historical Park,37.37663,-78.79733,L718299
Appomattox River Park,37.223416,-77.47591,L718301
Appomattox-Buckingham State Forest,37.438611,-78.664722,L3863595
Aquia Landing,38.388748,-77.315891,L718303
Arritt Park,38.06558,-77.67144,L718304
Audubon Naturalist Society Rust Sanctuary,39.12,-77.58905,L295870
Augusta Springs Wetlands Trail,38.10781,-79.30988,L548797
Back Bay National Wildlife Refuge,36.677938,-75.915853,L718307
Ball's Bluff Battlefield Regional Park,39.13031,-77.53082,L456023
Banister Lake,36.780135,-78.924796,L718309
Banshee Reeks Nature Preserve,39.02842,-77.59949,L160667
Bark Camp Lake,36.86773,-82.52344,L718310
Bassett Trace Nature Trail,37.268385,-76.693866,L1157005
Battery Dantzler Park,37.359116,-77.391757,L619344
Baylor Park Nature Trail,37.7318837,-76.3906954,L4743951
Beach Garden Park,36.856411,-75.985231,L4027954
"Beagle Gap Overlook, Shenandoah National Park",38.06954,-78.78907,L718312
Bealers Ferry Pond and Boat Launch,38.750555,-78.434782,L10914481
Bear Creek Lake State Park,37.53179,-78.27306,L356871
Beartree Lake/Campground - Mt. Rogers NRA,36.66411,-81.68814001,L718313
Beaver Creek Reservoir,36.746081,-79.870964,L718590
Beaver Dam Creek Trail,36.779192,-80.735446,L718314
"Beaverdam Park, Main Entrance",37.448734,-76.534338,L718315
"Beaverdam Park, SR 606 Entrance",37.472623,-76.563459,L718316
Belcher Mountain Road,36.765169,-80.301548,L718317
Belle Isle State Park,37.782703,-76.581263,L718318
"Belle Isle, James River Park System",37.53428889,-77.44945495,L618942
Belmont Ferry Farm Trail,38.321171,-77.468025,L4434878
"Belmont, Gari Melchers Estate",38.324393,-77.473134,L718321
Bennett's Creek Park,36.850667,-76.480774,L718322
Bent Mountain Public Library,37.154719,-80.122483,L718323
Bentonville to Front Royal River Loop,38.840785,-78.329577,L5484912
Berkeley Plantation,37.321614,-77.184786,L4841141
Bethel Beach Natural Area Preserve,37.410542,-76.250703,L271098
"Big Gem Park, Town of Shenandoah",38.482089,-78.616835,L718327
"Big Meadows, Shenandoah National Park",38.518,-78.43206,L159391
Big Survey Wildlife Management Area,36.90676,-81.04321,L718760
Big Walker Lookout,37.04577,-81.22794,L618340
Big Woods Wildlife Management Area,36.9320086,-77.06701595,L2908444
Birch Knob,37.23672,-82.45712,L718329
Bisset Park/Riverway Trail,37.135571,-80.5764,L718330
Blackwater Creek Natural Area and Hiking Trails,37.41855,-79.17567,L216916
Blandy Experimental Farm and State Arboretum of Virginia,39.06415,-78.06393,L235100
Blowing Springs Campground,38.069321,-79.887861,L617024
Blue Grass Valley Driving Loop,38.49809,-79.54754,L159285
Blue Ridge Discovery Center,36.67267,-81.61082,L10166141
Blue Ridge Rail Trail,37.70818,-79.023142,L526877
Booker T. Washington National Monument,37.11994,-79.73217,L289308
Botanical Garden of the Piedmont,38.050339,-78.471734,L15170674
Boxerwood Nature Center and Woodland Garden,37.777298,-79.465642,L718333
Braley Pond,38.28659,-79.30111,L718335
Branham Farm Wildlife Area,37.223544,-82.383525,L718334
Breaks Interstate Park,37.28704,-82.29606,L718336
Briery Branch Dam/Briery Lake,38.45112,-79.15997,L718339
Briery Creek Wildlife Management Area,37.178792,-78.450444,L1042010
Briery Presbyterian Church and Headwaters of Briery Creek,37.08986,-78.47886,L718341
Brownsville Preserve,37.468898,-75.832723,L718342
Brushy Hills,37.77817,-79.49636,L718344
Bryan Park,37.597364,-77.466894,L303334
Buckner-Bumpass Park,37.95765,-77.74936,L718345
Buffalo Mountain Natural Area Preserve,36.786985,-80.450548,L718347
Bull Run Mountains State Natural Area Preserve,38.82474,-77.70607,L718350
Bull Run Regional Park,38.8019,-77.490714,L718351
"Bull Run-Occoquan Trail, Bull Run Marina Entrance",38.742677,-77.388259,L718349
"Bull Run-Occoquan Trail, Fountainhead Regional Park Entrance",38.721021,-77.330791,L460103
Bullitt Park/Greenbelt Trail,36.866786,-82.781082,L718352
Burke Lake Park,38.761432,-77.306382,L718353
Burke's Garden,37.10006,-81.34342,L718354
Bush Mill Stream Natural Area Preserve,37.87009677,-76.44939826,L718356
Byrd Park,37.538034,-77.474605,L2182364
C. F. Phelps Wildlife Management Area,38.436785,-77.728875,L718357
C.M. Crockett Park,38.62175,-77.72282,L718358
Caledon State Park,38.339437,-77.133237,L718360
Camp Roosevelt Recreation Area,38.733055,-78.51722,L718363
Cape Charles Beach and Harbor,37.269101,-76.022578,L872490
Cape Charles Natural Area Preserve,37.258546,-76.017673,L598037
Cape Henry Lighthouse at Joint Expeditionary Base Fort Story,36.92557499,-76.00738648,L159305
Cappahosic Beach Boat Landing,37.38027,-76.635501,L718364
Carrollton Nike Park,36.961023,-76.561214,L353227
Carvins Cove Natural Reserve -- Bennett Springs,37.383939,-80.006582,L21922754
Carvins Cove Natural Reserve -- Boat Ramp,37.383831,-79.946749,L159287
Cascades,37.35371,-80.5993,L718367
"Catherine Furnace, U.S. Forest Service",38.557502,-78.63556,L718368
Cavitt's Creek,37.1708,-81.51407,L718369
"Chancellorsville Battlefield, Fredericksburg & Spotsylvania National Military Park",38.31151,-77.64925,L312699
Channels State Forest and Natural Area Preserve,36.86615,-81.95527,L718291
Charlotte State Forest,36.985,-78.6286111,L18180380
Chesapeake Arboretum,36.743576,-76.238338,L619342
Chesapeake Bay Bridge-Tunnel,37.121183,-75.969401,L718337
Chesapeake Bay Bridge-Tunnel,37.1213925,-75.9693209,L718370
Chessie Nature Trail,37.791211,-79.420714,L718374
Chestnut Ridge Trail,37.230396,-79.949067,L718375
Chickahominy Riverfront Park,37.265612,-76.872471,L718377
Chickahominy Wildlife Management Area,37.314925,-76.887556,L718376
Chimborazo Park and Chimborazo Medical Museum,37.526482,-77.412215,L443258
Chincoteague National Wildlife Refuge,37.933829,-75.374225,L718378
Chinquapin Park,38.81996,-77.08082,L159293
Chippokes State Park,37.143723,-76.743782,L718379
Chris Greene Lake,38.158792,-78.437547,L879912
Chub Sandhill Natural Area Preserve,36.863225,-77.185804,L718381
Claude Moore Park,39.01926,-77.40613,L515090
Claytor Lake State Park,37.05762,-80.62116,L718383
Claytor Nature Center,37.392156,-79.537373,L718384
Clear Creek Lake - Bristol,36.665,-82.1209,L718385
Clinch Mountain Wildlife Management Area,36.89730768,-81.84250633,L718565
"Cold Harbor Battlefield, Richmond National Battlefield Park",37.585422,-77.287118,L718387
Collinsville Jaycee Park,36.739,-79.905916,L718388
"Colonial Parkway, a Unit of Colonial National Historical Park",37.214187,-76.720806,L159296
Compton Mountain to Horn Mountain Driving Loop,37.232476,-82.0995,L191448
Conway-Robinson State Forest,38.8032,-77.58693,L718391
County Park at Great Creek,36.77846,-77.89018,L718394
County Pond/Brunswick Lake,36.79345,-77.74252,L718395
Coursey Springs Fish Cultural Station,38.178531,-79.58627,L617674
Crabtree Falls (U.S. Forest Service),37.85199,-79.07758,L718396
Craig Creek Recreation Area,37.6131,-79.95637,L718397
Cranes Nest River Trail,37.15352,-82.409831,L718398
Crawfish Valley,36.96525,-81.31539,L11842608
Crawfords State Forest,37.451792,-77.077491,L718400
Crooked Creek Wildlife Management Area,36.67611,-80.81358,L718401
Cumberland Gap National Historical Park/Wilderness Road Campground,36.602984,-83.635567,L718404
Cumberland State Forest,37.52298,-78.28219,L1091010
Curtis Memorial Park,38.43293,-77.56328,L718406
Custis Tombs,37.228202,-76.003044,L559234
Dameron Marsh Natural Area Preserve,37.779995,-76.308004,L421042
Dan Daniel Memorial Park and Danville Riverwalk Trail,36.57475,-79.37402,L519621
Darden Towe Park,38.04092,-78.45254,L718410
"Dark Hollow Falls Trail, Shenandoah National Park",38.519689,-78.431053,L718411
Deep Bottom Park,37.40868,-77.304549,L418431
Deep Run Park,37.623429,-77.590865,L246147
Deer Park,37.068985,-76.477172,L718414
Deerfield Trail,37.25727,-80.44173,L2394070
Devil's Den Nature Preserve,36.6457,-80.70165,L718415
Dick Cross Wildlife Management Area,36.618329,-78.305241,L159299
Dismal Swamp Canal Trail,36.687658,-76.359441,L517450
Dolly Anne Hollow (FDR125)/Smith Creek (FDR 125),37.790419,-79.953216,L718417
Dora Kelley Nature Park,38.832398,-77.128006,L449905
Dora Trail,37.045888,-80.779396,L12385071
Dorey Park,37.466214,-77.337607,L718418
Dorrier Park and Levee Walk,37.79733,-78.49648,L718419
Douthat State Park,37.895951,-79.801485,L275876
Duff McDuff Green Memorial Park,38.27453,-77.43153,L521853
DWR POWRR Property - Falls Mills Lake,37.27154,-81.322411,L3093599
DWR POWRR Property - Rexrena Boating Access Site,36.65497,-82.744929,L31286448
DWR POWRR Property – Big Cedar Creek Farm,36.902128,-82.036683,L22468691
Dyke Marsh Wildlife Preserve,38.769152,-77.050339,L159300
East Gate Park,37.290973,-79.920261,L718425
Eastern Shore of Virginia National Wildlife Refuge,37.136975,-75.96473,L718426
Eastham Park Trail and Front Royal Boat Landing,38.91398,-78.20963,L718306
Echo Lake Park,37.67443,-77.54735,L246152
Edith J. Carrier Arboretum and Botanical Garden at James Madison University,38.429401,-78.8612,L1145397
Edward S. Brinkley Nature Preserve,37.302699,-75.932951,L11333070
Elizabeth Furnace,38.927906,-78.329466,L718427
Elk Garden,36.646074,-81.582058,L718428
Elk Viewing Area,37.245282,-82.171681,L9258349
Ellanor C. Lawrence Park and the Walney Vistor Center,38.852722,-77.431951,L718429
Elliott Knob Area - North Mountain and Elliott Knob Trails,38.21218,-79.29111,L718430
Evans Tract on Cowpasture River,37.80055,-79.74816,L718433
Fairy Stone State Park,36.79271,-80.11606,L595847
Fairystone Farms Wildlife Management Area,36.79001,-80.06625,L718435
Falls of Dismal,37.185621,-80.902058,L15200013
False Cape State Park,36.620737,-75.893977,L718439
Farley Memorial Wayside,37.2659,-80.7114,L718440
Fenwick Mines Day Use Area,37.57426,-80.05542,L718442
Ferrum College,36.926604,-80.01987,L718443
First Landing State Park,36.918401,-76.026369,L718444
Fishburn Park,37.24692,-79.98185,L718445
Fisher Farm Park,36.61212,-79.83405,L718446
Flagpole Knob,38.510096,-79.183964,L718447
"Fluvanna Heritage Trail - East, Pleasant Grove Park",37.8604,-78.27055,L718448
"Fluvanna Heritage Trail - West, Pleasant Grove Park",37.869354,-78.294635,L718449
Fluvanna Ruritan Lake,37.88997,-78.37391,L718450
Fort Boykin Historic Park,37.034554,-76.617014,L718452
Fort C.F. Smith Park,38.901173,-77.094193,L168992
Fort Christanna Historical Site,36.713284,-77.870882,L1634562
Fort Huger,37.111067,-76.661856,L569762
Fort Monroe,37.002002,-76.311159,L604728
Fortune's Cove Preserve,37.78014001,-78.89300001,L718454
"Fox Hollow Discovery Trail, Shenandoah National Park",38.87117,-78.20463,L686456
Fraley Avenue Trail,36.718777,-82.810534,L718451
Fraley Park,36.86621,-82.7679,L718456
Franklin County Recreation Park,36.936688,-79.85095,L718458
"Frazier Discovery Trail, Shenandoah National Park",38.26275,-78.66081,L718460
Fred Clifton Park,36.71977,-80.3257,L718461
"Fredericksburg Battlefield, Fredericksburg & Spotsylvania National Military Park",38.29361,-77.46722,L718462
"Free School Marsh & Michael Marsh Tracts, Saxis Wildlife Management Area",37.905454,-75.683746,L718721
Friends of Dragon Run Teta Kain Nature Preserve,37.633923,-76.695303,L718422
Fries Public Boat Landing,36.71443,-80.97649,L718463
G. Richard Thompson Wildlife Management Area,38.95744,-77.98902,L718464
"Gaines' Mill Battlefield, Richmond National Battlefield Park",37.574266,-77.290709,L443267
Gargatha Landing,37.77479,-75.561554,L718466
Garst Mill Park Greenway,37.242345,-80.009545,L718467
Gathright Dam - Jackson River Float Trip,37.948184,-79.949165,L718531
George Washington Birthplace National Monument,38.185072,-76.919926,L159307
Glady Fork Wetland,36.871128,-82.559966,L718469
Glen Alton,37.4294,-80.55144,L718470
Glen Lyn Park,37.372,-80.8584,L718471
Glen Maury Park,37.72407,-79.363921,L718472
"Glenns Campus, Rappahannock Community College",37.564751,-76.624908,L718474
Gloucester Point Beach,37.245969,-76.502889,L572920
Goose Point at Philpott Lake,36.80299,-80.05209,L718434
Goshen - Little North Mountain Wildlife Management Area,38.04644277,-79.35141293,L718477
Gosnold's Hope Park,37.069305,-76.331716,L718479
Grand Caverns Regional Park (Grottoes),38.25916,-78.83441,L159313
Grandview Nature Preserve,37.078213,-76.277161,L718480
Grassy Hill Natural Area Preserve,37.017851,-79.899326,L718481
Grayson County Recreation Park,36.62619,-81.12496,L718482
Grayson Highlands State Park,36.624174,-81.499958,L718483
Great Dismal Swamp National Wildlife Refuge,36.61952836,-76.56173962,L718484
Great Falls Park,38.993676,-77.255281,L718485
Great Neck Park,36.883772,-76.05907,L1817716
Green Hill Park,37.27539,-80.11364,L718486
Green Pastures Recreation Area,37.792219,-79.703676,L26557162
Green Springs National Historic District - Bracketts Farm,38.039874,-78.162126,L718487
Greenbrier Park and the Meadow Creek Trail,38.064056,-78.47561,L1543531
Greensprings Interpretive Trail,37.249839,-76.787013,L280466
Grindstone Campground,36.68799,-81.53976,L718491
"Guard Shore Tract, Saxis Wildlife Management Area",37.844084,-75.665756,L718493
Guest River Gorge Trail,36.92324,-82.45144,L718494
Hale Lake,36.760151,-81.249606,L357526
"Hall Road, Raptor Viewing Stop and Overlook",37.39609,-80.21309,L718496
Hanging Rock Battlefield Trail,37.32799,-80.04032,L718497
Happy Hollow Garden,37.22606,-80.06671,L718498
Harborton Landing,37.66584,-75.83122,L718499
Hardware River Wildlife Management Area,37.74062,-78.4074,L718500
"Harrison Lake National Fish Hatchery, U.S. Fish and Wildlife Service",37.34606,-77.187325,L159319
Harvey's Knob Overlook,37.44548,-79.72654,L159320
Havens Wildlife Management Area,37.354056,-80.118782,L718502
Hearthstone Lake,38.39526,-79.16359,L718503
Hemlock Overlook Regional Park,38.766215,-77.400811,L718504
Henricus Park/Dutch Gap Conservation Area,37.378742,-77.37827,L207180
Heritage Community Park and Natural Area,37.23778,-80.46048,L421224
Hickory Hollow Natural Area Preserve,37.77182,-76.44534,L718506
Hidden Oaks Nature Center & Annandale Park,38.837845,-77.212763,L200655
Hidden Valley,38.098301,-79.81841,L718508
Hidden Valley Wildlife Management Area,36.83727,-82.08641,L718509
High Knob Recreation Area,36.89363,-82.62842,L718510
Highland Wildlife Management Area - Bullpasture Gorge and Mountain,38.264474,-79.52593,L718511
Highland Wildlife Management Area - Jack Mountain/Buck Hill Road,38.318918,-79.542713,L718512
Historic Crab Orchard Museum,37.11988,-81.57424,L718513
"Historic Jamestowne, a unit of Colonial National Historical Park",37.209254,-76.769899,L718540
Historic Westover,37.311613,-77.151651,L718815
Hoffler Creek Wildlife Preserve,36.891627,-76.395668,L718514
Hog Island Wildlife Management Area,37.173476,-76.697221,L718515
Holliday Lake State Park,37.39969,-78.64091,L326907
Homestead Road/Fairwood Valley,36.715034,-81.467968,L718517
Hone Quarry Recreation Area,38.462289,-79.134881,L718518
Horsepen Lake Wildlife Management Area,37.510619,-78.552803,L718521
Hughlett Point Natural Area Preserve,37.741722,-76.317595,L441725
Hungry Mother State Park,36.88289,-81.526,L718523
Huntley Meadows Park,38.758862,-77.095891,L718525
I.C. DeHart Memorial Park,36.813815,-80.257052,L718526
Indian Draft - Jackson River Float Trip,37.86879,-79.98878,L718532
Indiantown Park,37.346674,-75.902537,L718528
Ivy Creek Natural Area,38.09074,-78.49338,L159326
J. Frank Wilson Park,36.686828,-79.860161,L718529
J. Metz Neabsco Creek Wetlands Preserve,38.60576902,-77.27383589,L189661
Jack Dalton Park,36.74433,-79.89398,L718530
James Madison's Montpelier,38.226826,-78.179606,L718536
James River Heritage Trail at Percival's Island Natural Area,37.41053,-79.13508,L718537
James River National Wildlife Refuge,37.260029,-77.142132,L12704018
James River State Park,37.62332,-78.80226,L718538
James River Wildlife Management Area,37.672444,-78.732238,L718539
John J. Radcliffe Appomattox River Conservation Area,37.220153,-77.523623,L2903590
John Marshall Birthplace Park,38.60049,-77.71558,L718541
John W. Flannagan Reservoir,37.23213,-82.34606,L718542
Johnson Springs - Jackson River Float Trip,37.91453,-79.97085,L718533
Jones Point Park,38.79568,-77.041928,L159335
Keokee Lake,36.85427,-82.86324,L718544
King and Queen Fish Cultural Station,37.741714,-76.934897,L718545
